,Un misil en mi placard,Te hacen falta vitaminas,Mi novia tiene biceps,Trátame suavemente,Disco Eterno,Ni un segundo,Afrodisíacos,Dietético,El tiempo es dinero,Por qué no puedo ser del jet set?,Cuando pase el temblor,Nada personal,Juegos de seducción,Imágenes retro,Danza rota,Estoy azulado,Observándonos,Ecos,Si no fuera por,Sin sobresaltos,En camino,Final caja negra,Prófugos,Persiana americana,Signos,El rito,No existes,Día común,En la ciudad de la furia,Lo que sangra,Corazón delator,Sobredosis de TV,En el borde,Picnic en el 4to B,El ritmo de tus ojos,Terapia de amor intensiva,Los languidecientes
Cuando pase el temblor,0.9437082,0.9476567,0.9527111,0.9280561,0.91325545,0.91487503,0.92440826,0.9224268,0.9287918,0.95006835,0.9999997,0.8775506,0.9457434,0.9311859,0.9232069,0.95867217,0.93515986,0.9446321,0.9476905,0.95382756,0.9531079,0.9127024,0.9439198,0.92355907,0.9446047,0.94676036,0.9302836,0.92813843,0.9334758,0.9480032,0.950694,0.90305346,0.9477332,0.9270296,0.9463618,0.89584213,0.9345863
Nada personal,0.8196801,0.8670591,0.84994596,0.82650256,0.8797278,0.91071844,0.89034915,0.8782252,0.8823591,0.89563984,0.8775506,0.9999999,0.8603856,0.8518238,0.8629394,0.9050165,0.91326636,0.8597935,0.8823507,0.90154815,0.89197487,0.8970604,0.8903237,0.88741875,0.8712262,0.8693036,0.91366124,0.84277546,0.91535807,0.8939062,0.8765345,0.89038706,0.90717727,0.91408724,0.8686237,0.89529693,0.8916047
Juegos de seducción,0.9606487,0.9430509,0.9741934,0.95572746,0.9121284,0.90116036,0.9280079,0.9180535,0.91872406,0.9420398,0.9457434,0.8603856,0.9999999,0.9374439,0.9159315,0.9404383,0.94742376,0.93620133,0.9634048,0.94291264,0.9384167,0.89477205,0.9337697,0.8971955,0.9483526,0.94695187,0.93159246,0.95226395,0.93287253,0.9314697,0.9682601,0.89905363,0.9304681,0.89739245,0.9135691,0.91798455,0.8875595
Imágenes retro,0.9422008,0.92914283,0.9339597,0.89821494,0.9344074,0.8813928,0.9200896,0.9104807,0.8830417,0.92611736,0.9311859,0.8518238,0.9374439,0.99999934,0.9147011,0.9385696,0.91981363,0.9271593,0.92969656,0.9201806,0.9223347,0.89751315,0.89781594,0.91996366,0.9215125,0.9304786,0.92028207,0.91764814,0.90473825,0.8968528,0.93588465,0.88036007,0.92379653,0.90368974,0.927018,0.8707837,0.87273437
Danza rota,0.9106254,0.9119046,0.9145442,0.90419275,0.9190935,0.88628334,0.9093335,0.9122898,0.8851252,0.91622806,0.9232069,0.8629394,0.9159315,0.9147011,1.0,0.92572135,0.9090323,0.91628486,0.9097091,0.91192967,0.9116779,0.908964,0.8961884,0.907265,0.90229553,0.9228092,0.90958786,0.9016303,0.91212285,0.9095666,0.9264164,0.87187207,0.91463673,0.8941049,0.9162089,0.8882404,0.8837127
Estoy azulado,0.9398409,0.9422967,0.93737704,0.93622035,0.92371523,0.92702436,0.92841697,0.93462443,0.9245827,0.9692685,0.95867217,0.9050165,0.9404383,0.9385696,0.92572135,0.9999998,0.9557051,0.9264779,0.9499724,0.9491715,0.94911426,0.92810327,0.9591571,0.95218605,0.95696396,0.9488087,0.9341216,0.9321359,0.946998,0.9677724,0.946464,0.9145497,0.9584905,0.9470099,0.9423936,0.92015934,0.9280444
Observándonos,0.9292935,0.9262324,0.93818516,0.9318898,0.9166417,0.9286185,0.92614645,0.91571814,0.93566936,0.9459944,0.93515986,0.91326636,0.94742376,0.91981363,0.9090323,0.9557051,0.9999996,0.922027,0.9450612,0.94757605,0.94403064,0.9338055,0.9598557,0.92822164,0.9364103,0.9374589,0.93749475,0.93576,0.95694584,0.9461799,0.9546097,0.91576487,0.94013774,0.9347595,0.91502804,0.9261022,0.92585063
Ecos,0.91923004,0.9457312,0.9294729,0.8961532,0.9134283,0.9002342,0.953743,0.92988867,0.895233,0.9133844,0.9446321,0.8597935,0.93620133,0.9271593,0.91628486,0.9264779,0.922027,0.99999946,0.9359344,0.95085824,0.9289752,0.9038469,0.91789055,0.9004053,0.9334171,0.9236756,0.9394736,0.894198,0.9220993,0.915125,0.93636274,0.9017121,0.9225997,0.90908295,0.92859316,0.8682774,0.90900135
Si no fuera por,0.94875443,0.9444305,0.96060675,0.9437202,0.9082514,0.91404223,0.916151,0.9189791,0.93067545,0.9516797,0.9476905,0.8823507,0.9634048,0.92969656,0.9097091,0.9499724,0.9450612,0.9359344,0.99999976,0.9472756,0.94772387,0.9063332,0.9432437,0.9269648,0.94445235,0.9412836,0.9322856,0.93238825,0.9502904,0.95069444,0.949487,0.9100717,0.9524178,0.91225857,0.9349383,0.9112271,0.91061586
Sin sobresaltos,0.91362417,0.9559372,0.94189566,0.91386956,0.9123818,0.9228253,0.9429213,0.9300983,0.9331218,0.9274431,0.95382756,0.90154815,0.94291264,0.9201806,0.91192967,0.9491715,0.94757605,0.95085824,0.9472756,1.0000002,0.9411762,0.91630894,0.94658256,0.9211317,0.93607485,0.93373984,0.95590687,0.9183802,0.95654047,0.9383022,0.93451726,0.90630347,0.9384032,0.9278936,0.92234147,0.9010835,0.93621576
En camino,0.933191,0.9415068,0.93219334,0.9018848,0.9130942,0.9418091,0.92717403,0.93744844,0.93953973,0.94645494,0.9531079,0.89197487,0.9384167,0.9223347,0.9116779,0.94911426,0.94403064,0.9289752,0.94772387,0.9411762,0.9999998,0.9110321,0.93666625,0.92213506,0.94686294,0.94601977,0.9318285,0.91574776,0.9338826,0.94678426,0.95482093,0.90723974,0.96335214,0.9188513,0.9449487,0.91458285,0.9122628
Final caja negra,0.8912277,0.91067994,0.88945186,0.89094985,0.88940364,0.9073254,0.91839504,0.9037033,0.898239,0.92219305,0.9127024,0.8970604,0.89477205,0.89751315,0.908964,0.92810327,0.9338055,0.9038469,0.9063332,0.91630894,0.9110321,0.99999964,0.91642964,0.9285743,0.90199953,0.8980417,0.9171721,0.87489337,0.92851835,0.92551184,0.916639,0.905858,0.93386537,0.9152758,0.8969952,0.88477397,0.9151092
Prófugos,0.9274798,0.9266723,0.9369041,0.94353086,0.8865512,0.90718585,0.918313,0.9037176,0.92347574,0.9484143,0.9439198,0.8903237,0.9337697,0.89781594,0.8961884,0.9591571,0.9598557,0.91789055,0.9432437,0.94658256,0.93666625,0.91642964,1.0,0.93176025,0.9291978,0.92523277,0.92283547,0.9266335,0.9608812,0.9591241,0.9240532,0.8977607,0.9368284,0.94665843,0.9107751,0.8981889,0.94645435
Persiana americana,0.90134174,0.91098267,0.88907295,0.9079233,0.8992776,0.8849026,0.90602636,0.8931226,0.88652545,0.931164,0.92355907,0.88741875,0.8971955,0.91996366,0.907265,0.95218605,0.92822164,0.9004053,0.9269648,0.9211317,0.92213506,0.9285743,0.93176025,1.0000004,0.912042,0.91080534,0.9202182,0.8830292,0.9326317,0.94250244,0.9075138,0.89480954,0.93964005,0.9289072,0.9303195,0.8825437,0.92485285
Signos,0.9320277,0.9519871,0.92861325,0.9076546,0.8763108,0.9254462,0.934151,0.9303817,0.9094637,0.9542185,0.9446047,0.8712262,0.9483526,0.9215125,0.90229553,0.95696396,0.9364103,0.9334171,0.94445235,0.93607485,0.94686294,0.90199953,0.9291978,0.912042,1.0000001,0.94456935,0.9280738,0.92334396,0.9156001,0.9511465,0.9448177,0.92652,0.94838303,0.9083451,0.91757447,0.89382726,0.91044956
El rito,0.94653004,0.93517846,0.944471,0.9275391,0.9150935,0.901606,0.9246428,0.9278553,0.9219281,0.9392019,0.94676036,0.8693036,0.94695187,0.9304786,0.9228092,0.9488087,0.9374589,0.9236756,0.9412836,0.93373984,0.94601977,0.8980417,0.92523277,0.91080534,0.94456935,1.0000001,0.93223125,0.9391144,0.92404526,0.92890173,0.9547227,0.8826481,0.92777276,0.9046681,0.9232598,0.916924,0.88558954
No existes,0.90129465,0.9494628,0.91352415,0.8930703,0.9107822,0.912019,0.958096,0.92432004,0.89605165,0.9108823,0.9302836,0.91366124,0.93159246,0.92028207,0.90958786,0.9341216,0.93749475,0.9394736,0.9322856,0.95590687,0.9318285,0.9171721,0.92283547,0.9202182,0.9280738,0.93223125,1.0000002,0.894124,0.9347952,0.92038286,0.9310073,0.9048431,0.92826384,0.93744373,0.89917547,0.88919026,0.9151558
Día común,0.9468487,0.90455943,0.955163,0.94013137,0.906754,0.87331283,0.8870749,0.88692737,0.9179402,0.9232288,0.92813843,0.84277546,0.95226395,0.91764814,0.9016303,0.9321359,0.93576,0.894198,0.93238825,0.9183802,0.91574776,0.87489337,0.9266335,0.8830292,0.92334396,0.9391144,0.894124,0.9999998,0.91596484,0.9133959,0.9386144,0.86918527,0.90413976,0.9030228,0.8990056,0.9046798,0.876807
En la ciudad de la furia,0.9161127,0.93419456,0.9353568,0.9303138,0.9092791,0.92240113,0.92554116,0.91976994,0.92690146,0.9385888,0.9334758,0.91535807,0.93287253,0.90473825,0.91212285,0.946998,0.95694584,0.9220993,0.9502904,0.95654047,0.9338826,0.92851835,0.9608812,0.9326317,0.9156001,0.92404526,0.9347952,0.91596484,0.9999999,0.94607353,0.9328573,0.9089131,0.9453727,0.9385495,0.9165822,0.91252714,0.9320646
Lo que sangra,0.9171225,0.93600935,0.9245013,0.92468965,0.87989247,0.9347612,0.9187516,0.92704374,0.93006676,0.95701367,0.9480032,0.8939062,0.9314697,0.8968528,0.9095666,0.9677724,0.9461799,0.915125,0.95069444,0.9383022,0.94678426,0.92551184,0.9591241,0.94250244,0.9511465,0.92890173,0.92038286,0.9133959,0.94607353,0.9999997,0.94079995,0.91578144,0.95641637,0.9285492,0.9284475,0.9248584,0.933301
Corazón delator,0.95625335,0.9406822,0.9595687,0.9377742,0.9280722,0.9251228,0.93416035,0.93961644,0.9298609,0.9489441,0.950694,0.8765345,0.9682601,0.93588465,0.9264164,0.946464,0.9546097,0.93636274,0.949487,0.93451726,0.95482093,0.916639,0.9240532,0.9075138,0.9448177,0.9547227,0.9310073,0.9386144,0.9328573,0.94079995,0.9999998,0.8994713,0.9406496,0.90238374,0.9274545,0.931137,0.88920355
Sobredosis de TV,0.8739167,0.91293865,0.87658185,0.8555661,0.8443145,0.90818214,0.910847,0.8875395,0.88788724,0.9174418,0.90305346,0.89038706,0.89905363,0.88036007,0.87187207,0.9145497,0.91576487,0.9017121,0.9100717,0.90630347,0.90723974,0.905858,0.8977607,0.89480954,0.92652,0.8826481,0.9048431,0.86918527,0.9089131,0.91578144,0.8994713,0.99999994,0.9206356,0.90150917,0.88106126,0.8700979,0.9285012
En el borde,0.92543715,0.9410083,0.92250943,0.9004032,0.9017571,0.9437058,0.92419636,0.9362003,0.91813076,0.95703405,0.9477332,0.90717727,0.9304681,0.92379653,0.91463673,0.9584905,0.94013774,0.9225997,0.9524178,0.9384032,0.96335214,0.93386537,0.9368284,0.93964005,0.94838303,0.92777276,0.92826384,0.90413976,0.9453727,0.95641637,0.9406496,0.9206356,0.99999994,0.923811,0.9381109,0.89966124,0.9213723
Picnic en el 4to B,0.8966511,0.9211232,0.89667237,0.8937782,0.90707207,0.904953,0.92559254,0.90090185,0.8888425,0.92636746,0.9270296,0.91408724,0.89739245,0.90368974,0.8941049,0.9470099,0.9347595,0.90908295,0.91225857,0.9278936,0.9188513,0.9152758,0.94665843,0.9289072,0.9083451,0.9046681,0.93744373,0.9030228,0.9385495,0.9285492,0.90238374,0.90150917,0.923811,0.99999976,0.90795153,0.8769914,0.93540865
El ritmo de tus ojos,0.9187971,0.9123739,0.9174996,0.900419,0.91858137,0.90889335,0.8952511,0.9121473,0.91691035,0.9319923,0.9463618,0.8686237,0.9135691,0.927018,0.9162089,0.9423936,0.91502804,0.92859316,0.9349383,0.92234147,0.9449487,0.8969952,0.9107751,0.9303195,0.91757447,0.9232598,0.89917547,0.8990056,0.9165822,0.9284475,0.9274545,0.88106126,0.9381109,0.90795153,1.0,0.89041513,0.9041598
Terapia de amor intensiva,0.87802255,0.86626357,0.906875,0.8974631,0.8902338,0.89775544,0.8755185,0.89809966,0.91468114,0.9100421,0.89584213,0.89529693,0.91798455,0.8707837,0.8882404,0.92015934,0.9261022,0.8682774,0.9112271,0.9010835,0.91458285,0.88477397,0.8981889,0.8825437,0.89382726,0.916924,0.88919026,0.9046798,0.91252714,0.9248584,0.931137,0.8700979,0.89966124,0.8769914,0.89041513,1.0000001,0.8526137
Los languidecientes,0.8776957,0.92609775,0.88612443,0.8827735,0.856044,0.8983678,0.9137812,0.8864539,0.9052676,0.9118108,0.9345863,0.8916047,0.8875595,0.87273437,0.8837127,0.9280444,0.92585063,0.90900135,0.91061586,0.93621576,0.9122628,0.9151092,0.94645435,0.92485285,0.91044956,0.88558954,0.9151558,0.876807,0.9320646,0.933301,0.88920355,0.9285012,0.9213723,0.93540865,0.9041598,0.8526137,0.9999995
